Function,sup1,sup2,sup3,sup4,sup5,salary,gender,disabled,race,yearsInPosition,yearsInProfession,age,cred1,cred2,highestDegree,inst1,inst2,inst3,inst4,inst5,instBudget,City,State,Zip,country,Category,instSize,instType
position1,16,1,0,350,135,125000,Woman,FALSE,Caucasian,10,26,50,TRUE,FALSE,Doctoral,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position3,7,0,0,320,120,92000,Woman,FALSE,Other,1,11,35,FALSE,TRUE,Master's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position3,4,0,0,25,15,88000,Woman,FALSE,Caucasian,4,14,54,FALSE,FALSE,Master's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position5,0,0,0,5,0,75000,Woman,FALSE,Caucasian,1,1,33,FALSE,FALSE,Bachelor's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position18,0,0,0,0,0,67000,Woman,FALSE,Caucasian,1,1,32,FALSE,FALSE,Master's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position9,1,0,0,80,10,68000,Man,FALSE,Caucasian,1,5,26,FALSE,FALSE,Bachelor's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position9,0,0,0,80,5,60000,Man,FALSE,Hispanic,1,2,23,FALSE,FALSE,Bachelor's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position11,0,0,0,50,10,60000,Man,FALSE,Caucasian,1,2,24,FALSE,FALSE,Bachelor's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position12,0,0,0,10,45,74000,Woman,FALSE,Caucasian,5,5,44,FALSE,FALSE,Master's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position6,0,0,0,10,30,68000,Woman,FALSE,Caucasian,4,4,34,FALSE,FALSE,Bachelor's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
