term,definition
machine learning,"a process of automating algorithms, by which a program adjusts weighted relationships between known problems and solutions"
machine learning,"let the machine have freedom to make logical, theoretical, mathematical process by itself to output some specific results"
machine learning,"using computational and algorithmic methods to solve predefined problems, often relating to classification or game playing. generally has the ability to improve over time"
machine learning,is a subfield of artificial intelligence in which computers learn from data without being explicitly programmed
machine learning,a computational approach to understanding and predicting patterns and behaviors
machine learning,"a computerized process of trial and error whereby algorithms develop progressive proficiency at object detection, natural language processing, sorting, clustering, and matching target objects"
machine learning,when a program recodes itself given new information to better solve its objective
machine learning,program to machine learns by itself with previous data
machine learning,"training computers to learn to do something rather than prescribing how to do it; categorize, label, predict"
machine learning,"teaching machines, systems, and devices to think more like we do"
machine learning,"the use of recursive methods in data processing, analysis, and generation that attempt to mimic the neural networks of synapses in the human brain"
machine learning,essentially teaching software to independently learn content and extrapolate on it by applying algorithms and a lot of data
machine learning,"programmatic, automated decision making from experience"
machine learning,"a computational process that uses quantitative methods to handle data that helps the user make predictions, sort information, demonstrate relationships, and visualize systems. the process involves allowing the computer to learn over time. "
machine learning,a set of instructions and patterns that allow a computer to predict and analyze information
machine learning,creating algorithms for a computer to run that will self correct when faced with a new problem
machine learning,to write algorithms that are able to make computers automatically produce outcomes that the programmer wants
machine learning,"the process of creating a model where a computer, through the use of algorithms, and data, learns how to achieve a specific test through trial and error"
machine learning,machine could learn something like data and predict other similar data based on the previous data
machine learning,"statistical and computational methods that involve computers or machines making decisions based on a previous set of knowledge or information, and inferences on that information"
machine learning,predicting future phenomena by creating probabilities between the likelihood of an outcome versus what has come prior
artificial intelligence,"intelligence stored, utilized, and created in a database and used by a machine to solve its objective"
artificial intelligence,"when a computer is able to learn, understand, and store things that it wasn't explicitly taught; it is as if the computer develops an imagination"
artificial intelligence,"regarding machine learning, it is not difference in kind, but scale; I don't think there's much ineffable about human intelligence but understand assuming we are all state machines is a bit reductionist for some"
artificial intelligence,"constructed cognition of machines, oftentimes based on prior knowledge of the methods of human cognition"
artificial intelligence,a field in computer science where there's research on how machines can acquire cognitive and other skills so it can resemble more how the human mind works
artificial intelligence,a computer system that is capable of autonomous thought with more or less than human level intelligence
artificial intelligence,"any intelligence of non-human, non-animal existence. I cannot say all artificial intelligences are constituted by digital language; they have their own language to recognize, understand, and present something"
artificial intelligence,computationally modeled behavior meant to emulate an organism
artificial intelligence,a virtual system of connected bodies of knowledge (i.e. databases) that is able to quickly reference and provide queries requested
artificial intelligence,a machine or system that can handle or process tasks like we would. doesn't always require manual human input. 
artificial intelligence,it's applied version of machine learning. always used to help humans or solve human problems
artificial intelligence,machines that are able to perform and complete tasks on their own
artificial intelligence,"it's a broad multidisciplinary field, including cognitive sciences and computer science, that study the design of intelligent machines that imitates or emulates human cognitive skills"
artificial intelligence,a broad class of techniques (which include machine learning and other branches of computer science) used to aid human cognition with computerized information retrieval systems
artificial intelligence,program which is set up to make a self decision by itself
artificial intelligence,the ability that a computer has to assess a scenario and act according to the memory it has
artificial intelligence,the ability of nonbiological entities to function and reason on a level comparable to human reasoning
artificial intelligence,"the use of data to assist in making predictions, sorting information, and identify relationships"
artificial intelligence,"the mechanical being that results from a series of decisions, experiences, and memories"
artificial intelligence,a non biological system's ability to perform tasks and actions that reflect some sort of decision making process
artificial intelligence,any system programmed or designed to utilize prior input or feedback to make informed decisions
