hungry,hoursSince,text
TRUE,5,I'm so angry!
FALSE,1,life is great
TRUE,6,I feel like angry bird
FALSE,2,it's a great day to fly
TRUE,4,don't make me angry
FALSE,42,this juice fast is great
TRUE,5,waiting for food makes me angry
FALSE,0,donuts make me happy
FALSE,2,"I really wonder, I say I really wonder why I haven't eaten really"
TRUE,3,I don't hate if I don't hate this day
TRUE,12,I want donuts donuts donuts donuts donuts donuts donuts donuts donuts donuts donuts donuts donuts donuts
FALSE,1,that steak was great
