imageName,ylabel,plane,helicopter,other,aircraft
2016-10-23T10+40+20_430Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-11-26T20+15+55_250Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-12-15T15+26+33_480Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-10-23T14+01+49_396Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-08-14T05+43+34_690Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-11-20T18+19+44_450Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-08-22T11+51+21_520Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-11-22T17+06+50_500Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-08-22T15+51+19_520Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-10-21T10+44+01_000Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-09-01T14+36+11_030Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-11-20T19+57+05_950Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-09-20T12+57+39_220Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-09-30T15+06+58_170Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-12-11T22+44+58_689Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-12-15T15+21+43_050Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-09-30T11+50+48_253Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-08-22T12+58+33_300Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-08-07T19+54+31_540Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-11-20T20+12+05_390Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-10-23T15+46+37_800Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2017-01-10T17+54+25_520Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-08-22T13+44+16_280Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-12-11T12+52+25_240Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-12-25T11+49+30_012Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-11-06T11+21+14_488Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-10-23T18+37+11_360Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-11-05T15+38+24_630Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-09-30T11+12+48_910Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-12-24T13+38+36_040Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-11-20T13+37+55_450Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-08-14T14+42+12_250Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-08-16T23+00+12_808Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-11-20T17+15+28_830Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-12-05T17+45+36_320Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-09-30T11+31+30_940Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-11-05T16+03+36_660Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-12-03T18+06+12_990Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-08-13T19+09+32_020Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-09-30T14+23+16_730Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2017-01-26T12+29+07_850Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-12-11T22+23+30_108Z,No aircraft,FALSE,FALSE,FALSE,FALSE
2016-08-12T21+59+32_620Z,No aircraft,FALSE,FALSE,FALSE,FALSE
